PartNo,Name,PlacedLayer,X,Y,Angle,ECADAngle,PartName,ECADPartName,PackageName,Fixed,width,height,left,top,pins
19,LEDM,TOP,24.9,39.2,0,0,EAV61773801-BSBF-LEDM,EAV61773801,optic-imd-dip-14pin-2.54p-40.2x12.8w-7.0h,TRUE,40.2,12.8,4.816992187499999,32.76881234707199,"['(16.0269921875, 34.088812347071986)', '(18.5669921875, 34.088812347071986)', '(21.106992187499998, 34.088812347071986)', '(23.6469921875, 34.088812347071986)', '(26.1869921875, 34.088812347071986)', '(28.7269921875, 34.088812347071986)', '(31.266992187499998, 34.088812347071986)', '(33.8069921875, 34.088812347071986)', '(33.8069921875, 44.24881234707199)', '(28.7269921875, 44.24881234707199)', '(23.6469921875, 44.24881234707199)', '(21.106992187499998, 44.24881234707199)', '(18.5669921875, 44.24881234707199)', '(16.0269921875, 44.24881234707199)']"
9,CN_BTOB,BOTTOM,94.4,24.8,0,0,EAG64973601-BS-CN_BTOB,EAG64973601,con-smd-flzt_sm1-1x40pin-1.0p-25.5x3.3w-3.9h-sm,TRUE,4.300000000000009,25.5,92.2884765625,12.026072901953675,"['(93.13847656249999, 15.026072901953675)', '(95.7384765625, 15.526072901953675)', '(93.13847656249999, 16.026072901953675)', '(95.7384765625, 16.526072901953675)', '(93.13847656249999, 17.026072901953675)', '(95.7384765625, 17.526072901953675)', '(93.13847656249999, 18.026072901953675)', '(95.7384765625, 18.526072901953675)', '(93.13847656249999, 19.026072901953675)', '(95.7384765625, 19.526072901953675)', '(93.13847656249999, 20.026072901953675)', '(95.7384765625, 20.526072901953675)', '(93.13847656249999, 21.026072901953675)', '(95.7384765625, 21.526072901953675)', '(93.13847656249999, 22.026072901953675)', '(95.7384765625, 22.526072901953675)', '(93.13847656249999, 23.026072901953675)', '(95.7384765625, 23.526072901953675)', '(93.13847656249999, 24.026072901953675)', '(95.7384765625, 24.526072901953675)', '(93.13847656249999, 25.026072901953675)', '(95.7384765625, 25.526072901953675)', '(93.13847656249999, 26.026072901953675)', '(95.7384765625, 26.526072901953675)', '(93.13847656249999, 27.026072901953675)', '(95.7384765625, 27.526072901953675)', '(93.13847656249999, 28.026072901953675)', '(95.7384765625, 28.526072901953675)', '(93.13847656249999, 29.026072901953675)', '(95.7384765625, 29.526072901953675)', '(93.13847656249999, 30.026072901953675)', '(95.7384765625, 30.526072901953675)', '(93.13847656249999, 31.026072901953675)', '(95.7384765625, 31.526072901953675)', '(93.13847656249999, 32.02607290195367)', '(95.7384765625, 32.52607290195367)', '(93.13847656249999, 33.02607290195367)', '(95.7384765625, 33.52607290195367)', '(93.13847656249999, 34.02607290195367)', '(95.7384765625, 34.52607290195367)']"
11,CN_UART1,TOP,80.5,17.6,0,0,6630AQ9113C-BF-CN_UART1,6630AQ9113C,con-imd-smw250-1x4pin-2.5p-12.4x5.8w-7.0h-sm,TRUE,12.4,6.300000000000001,74.2931640625,14.129703179394518,"['(76.7431640625, 17.579703179394517)', '(79.2431640625, 17.579703179394517)', '(81.7431640625, 17.579703179394517)', '(84.2431640625, 17.579703179394517)']"
12,CN_UART2,TOP,59.2,18.4,0,0,6630AQ9267C,6630AQ9267C,con-imd-smw250-1x4pin-2.5p-12.4x5.8w-7.0h-sm,TRUE,12.4,6.300000000000001,52.9650390625,14.952145433401277,"['(55.4150390625, 18.402145433401277)', '(57.9150390625, 18.402145433401277)', '(60.4150390625, 18.402145433401277)', '(62.9150390625, 18.402145433401277)']"
10,CN_DEBUG,TOP,27.8,8.9,0,0,6630A90002B,6630A90002B,con-imd-smw200-1x4pin-2.0p-10.0x5.1w-7.7h-sm,TRUE,10.0,5.1,22.7880859375,6.744059512323525,"['(24.7880859375, 8.944059512323525)', '(26.7880859375, 8.944059512323525)', '(28.7880859375, 8.944059512323525)', '(30.7880859375, 8.944059512323525)']"
38,U01M,BOTTOM,70.6,26.4,270,270,EAN62235301-BSBF-U01M,EAN62235301,ic-smd-qfp-52pin-0.65p-12.0x12.0w-1.7h,FALSE,13.00000000000001,13.000000000000004,64.1494140625,19.920957409967198,"['(65.0494140625, 22.5209574099672)', '(65.0494140625, 23.170957409967198)', '(65.0494140625, 23.8209574099672)', '(65.0494140625, 24.4709574099672)', '(65.0494140625, 25.1209574099672)', '(65.0494140625, 25.7709574099672)', '(65.0494140625, 26.420957409967198)', '(65.0494140625, 27.0709574099672)', '(65.0494140625, 27.7209574099672)', '(65.0494140625, 28.3709574099672)', '(65.0494140625, 29.0209574099672)', '(65.0494140625, 29.670957409967198)', '(65.0494140625, 30.3209574099672)', '(66.74941406250001, 32.020957409967195)', '(67.3994140625, 32.020957409967195)', '(68.0494140625, 32.020957409967195)', '(68.69941406250001, 32.020957409967195)', '(69.3494140625, 32.020957409967195)', '(69.99941406250001, 32.020957409967195)', '(70.6494140625, 32.020957409967195)', '(71.2994140625, 32.020957409967195)', '(71.94941406250001, 32.020957409967195)', '(72.5994140625, 32.020957409967195)', '(73.24941406250001, 32.020957409967195)', '(73.8994140625, 32.020957409967195)', '(74.5494140625, 32.020957409967195)', '(76.24941406250001, 30.3209574099672)', '(76.24941406250001, 29.670957409967198)', '(76.24941406250001, 29.0209574099672)', '(76.24941406250001, 28.3709574099672)', '(76.24941406250001, 27.7209574099672)', '(76.24941406250001, 27.0709574099672)', '(76.24941406250001, 26.420957409967198)', '(76.24941406250001, 25.7709574099672)', '(76.24941406250001, 25.1209574099672)', '(76.24941406250001, 24.4709574099672)', '(76.24941406250001, 23.8209574099672)', '(76.24941406250001, 23.170957409967198)', '(76.24941406250001, 22.5209574099672)', '(74.5494140625, 20.8209574099672)', '(73.8994140625, 20.8209574099672)', '(73.24941406250001, 20.8209574099672)', '(72.5994140625, 20.8209574099672)', '(71.94941406250001, 20.8209574099672)', '(71.2994140625, 20.8209574099672)', '(70.6494140625, 20.8209574099672)', '(69.99941406250001, 20.8209574099672)', '(69.3494140625, 20.8209574099672)', '(68.69941406250001, 20.8209574099672)', '(68.0494140625, 20.8209574099672)', '(67.3994140625, 20.8209574099672)', '(66.74941406250001, 20.8209574099672)']"
37,SW_CONF,TOP,9.3,21.7,0,0,6600EC2001A,6600EC2001A,sw-imd-tact-02pin-5.0p-9.0w-13.0h,FALSE,9.0,9.0,4.8310546875,17.19191444942832,"['(6.8310546875, 21.69191444942832)', '(11.8310546875, 21.69191444942832)']"
36,SW_BACK,TOP,41.9,21.5,0,0,6600FC2335A,6600FC2335A,sw-imd-tact-02pin-5.0p-8.0x8.0w-13.0h,FALSE,8.2,8.2,37.8384765625,17.38630388592663,"['(39.4384765625, 21.48630388592663)', '(44.4384765625, 21.48630388592663)']"
36,SW_LEFT,TOP,20.0,21.5,0,0,6600FC2335A,6600FC2335A,sw-imd-tact-02pin-5.0p-8.0x8.0w-13.0h,FALSE,8.2,8.2,15.8951171875,17.38630388592663,"['(17.4951171875, 21.48630388592663)', '(22.4951171875, 21.48630388592663)']"
36,SW_RIGHT,TOP,30.9,21.5,0,0,6600FC2335A,6600FC2335A,sw-imd-tact-02pin-5.0p-8.0x8.0w-13.0h,FALSE,8.2,8.2,26.7642578125,17.38630388592663,"['(28.3642578125, 21.48630388592663)', '(33.3642578125, 21.48630388592663)']"
35,SW1,TOP,57.1,44.3,0,0,EBF61475101,EBF61475101,sw-smd-slide-8pin-1.27p-6.2x8.1w-2.3h,FALSE,6.2,9.1,54.0142578125,39.75907643461425,"['(55.2092578125, 40.50907643461425)', '(56.4792578125, 40.50907643461425)', '(57.7492578125, 40.50907643461425)', '(59.0192578125, 40.50907643461425)', '(59.0192578125, 48.109076434614245)', '(57.7492578125, 48.109076434614245)', '(56.4792578125, 48.109076434614245)', '(55.2092578125, 48.109076434614245)']"
